statistic,param,quantile,value,reps,seed,source_dataset_version,analysis_version,through_draw,override_ref
stability_number,2-3,0.975,0.2666226576,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,2-3,mean,-0.0003242231203,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,2-4,0.025,-0.2639915583,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,2-4,0.975,0.2656886542,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,2-4,mean,0.0003078472028,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,3-4,0.025,-0.2675039395,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,3-4,0.975,0.2638760816,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_number,3-4,mean,0.0007896127186,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-1,0.025,-0.0616575716,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-1,0.975,0.06370110722,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-1,mean,0.0002139960287,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-2,0.025,-0.06153029565,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-2,0.975,0.0630688848,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-2,mean,-5.031656856e-05,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-3,0.025,-0.06161408342,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-3,0.975,0.06178702595,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-3,mean,-0.0004942845335,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-4,0.025,-0.06125960214,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-4,0.975,0.06274031061,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,0-4,mean,0.000584097827,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-2,0.025,-0.06204768682,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-2,0.975,0.06304974453,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-2,mean,0.0004504313813,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-3,0.025,-0.06100973317,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-3,0.975,0.06205881913,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-3,mean,0.000176200222,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-4,0.025,-0.06414605619,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-4,0.975,0.06268413705,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,1-4,mean,-0.0005416865427,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-3,0.025,-0.061056891,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-3,0.975,0.06275292817,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-3,mean,0.0002264892484,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-4,0.025,-0.06209797004,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-4,0.975,0.06267707815,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,2-4,mean,-0.0001430713585,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,3-4,0.025,-0.06300444505,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,3-4,0.975,0.06379572773,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
stability_pair,3-4,mean,0.0004228710086,10000,20260924,ds_cbdf3834368e,ds_16b6be697acb,01190,
