number,parity,band,count,n_draws,rel_freq,wilson_lo,wilson_hi,expected,null_lo,null_hi,z,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
14,even,low,120,1190,0.1008403361,0.08499561965,0.1192538283,129.8181818,109,151,-0.9129492032,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
15,odd,low,116,1190,0.0974789916,0.08189926661,0.115649124,129.8181818,109,151,-1.284891471,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
16,even,low,115,1190,0.09663865546,0.08112611565,0.1147470107,129.8181818,109,151,-1.377877038,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
17,odd,low,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
18,even,low,135,1190,0.1134453782,0.09665668185,0.1327217309,129.8181818,109,151,0.4818343017,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
19,odd,low,124,1190,0.1042016807,0.08809777488,0.1228527303,129.8181818,109,151,-0.5410069352,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
20,even,low,132,1190,0.1109243697,0.09431852915,0.1300340906,129.8181818,109,151,0.2028776007,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
21,odd,low,127,1190,0.1067226891,0.09042805067,0.1255482475,129.8181818,109,151,-0.2620502343,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
22,even,low,145,1190,0.1218487395,0.1044702905,0.1416607654,129.8181818,109,151,1.411689972,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
23,odd,low,143,1190,0.1201680672,0.102905218,0.1398753093,129.8181818,109,151,1.225718838,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
24,even,low,134,1190,0.112605042,0.09587698285,0.1318261656,129.8181818,109,151,0.3888487347,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
25,odd,low,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
26,even,low,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
27,odd,low,117,1190,0.09831932773,0.08267279673,0.1165508582,129.8181818,109,151,-1.191905904,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
28,even,high,108,1190,0.09075630252,0.07572505575,0.1084212203,129.8181818,109,151,-2.028776007,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
29,odd,high,143,1190,0.1201680672,0.102905218,0.1398753093,129.8181818,109,151,1.225718838,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
30,even,high,118,1190,0.09915966387,0.08344670173,0.1174522175,129.8181818,109,151,-1.098920337,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
31,odd,high,128,1190,0.1075630252,0.09120548694,0.1264460755,129.8181818,109,151,-0.1690646673,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
32,even,high,142,1190,0.1193277311,0.1021231132,0.1389821498,129.8181818,109,151,1.132733271,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
33,odd,high,134,1190,0.112605042,0.09587698285,0.1318261656,129.8181818,109,151,0.3888487347,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
34,even,high,144,1190,0.1210084034,0.1036876113,0.1407681803,129.8181818,109,151,1.318704405,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
35,odd,high,123,1190,0.1033613445,0.08732170587,0.121953535,129.8181818,109,151,-0.6339925022,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
36,even,high,120,1190,0.1008403361,0.08499561965,0.1192538283,129.8181818,109,151,-0.9129492032,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
37,odd,high,116,1190,0.0974789916,0.08189926661,0.115649124,129.8181818,109,151,-1.284891471,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
38,even,high,128,1190,0.1075630252,0.09120548694,0.1264460755,129.8181818,109,151,-0.1690646673,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
39,odd,high,129,1190,0.1084033613,0.09198325626,0.1273435705,129.8181818,109,151,-0.07607910027,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
40,even,high,136,1190,0.1142857143,0.09743669158,0.1336169855,129.8181818,109,151,0.5748198687,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
41,odd,high,150,1190,0.1260504202,0.1083878878,0.1461194897,129.8181818,109,151,1.876617807,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
42,even,high,139,1190,0.1168067227,0.09977855581,0.1363009142,129.8181818,109,151,0.8537765697,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
43,odd,high,142,1190,0.1193277311,0.1021231132,0.1389821498,129.8181818,109,151,1.132733271,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
44,even,high,135,1190,0.1134453782,0.09665668185,0.1327217309,129.8181818,109,151,0.4818343017,95,167,ds_cbdf3834368e,ds_16b6be697acb,01190,
