number,parity,band,count,n_draws,rel_freq,wilson_lo,wilson_hi,expected,null_lo,null_hi,z,n_nonmissing,n_missing_special,sim_lo,sim_hi,source_dataset_version,analysis_version,through_draw,override_ref
12,even,low,21,1190,0.01764705882,0.01157087969,0.02682740053,21.63636364,13,31,-0.1380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
13,odd,low,17,1190,0.01428571429,0.008938218399,0.02275900454,21.63636364,13,31,-1.00593477,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
14,even,low,29,1190,0.0243697479,0.01702063815,0.03477975664,21.63636364,13,31,1.597661106,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
15,odd,low,26,1190,0.0218487395,0.01495317585,0.03182142598,21.63636364,13,31,0.9467621367,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
16,even,low,25,1190,0.02100840336,0.01426989196,0.03082944554,21.63636364,13,31,0.7297958137,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
17,odd,low,16,1190,0.01344537815,0.00829286934,0.02172908928,21.63636364,13,31,-1.222901093,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
18,even,low,18,1190,0.01512605042,0.009589093966,0.0237833933,21.63636364,13,31,-0.7889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
19,odd,low,25,1190,0.02100840336,0.01426989196,0.03082944554,21.63636364,13,31,0.7297958137,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
20,even,low,29,1190,0.0243697479,0.01702063815,0.03477975664,21.63636364,13,31,1.597661106,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
21,odd,low,20,1190,0.01680672269,0.01090577555,0.02581724036,21.63636364,13,31,-0.3550358012,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
22,even,low,25,1190,0.02100840336,0.01426989196,0.03082944554,21.63636364,13,31,0.7297958137,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
23,odd,low,25,1190,0.02100840336,0.01426989196,0.03082944554,21.63636364,13,31,0.7297958137,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
24,even,low,18,1190,0.01512605042,0.009589093966,0.0237833933,21.63636364,13,31,-0.7889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
25,odd,low,16,1190,0.01344537815,0.00829286934,0.02172908928,21.63636364,13,31,-1.222901093,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
26,even,low,17,1190,0.01428571429,0.008938218399,0.02275900454,21.63636364,13,31,-1.00593477,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
27,odd,low,20,1190,0.01680672269,0.01090577555,0.02581724036,21.63636364,13,31,-0.3550358012,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
28,even,high,26,1190,0.0218487395,0.01495317585,0.03182142598,21.63636364,13,31,0.9467621367,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
29,odd,high,17,1190,0.01428571429,0.008938218399,0.02275900454,21.63636364,13,31,-1.00593477,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
30,even,high,14,1190,0.01176470588,0.007020784246,0.01965064574,21.63636364,13,31,-1.656833739,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
31,odd,high,29,1190,0.0243697479,0.01702063815,0.03477975664,21.63636364,13,31,1.597661106,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
32,even,high,15,1190,0.01260504202,0.007653535736,0.02069315857,21.63636364,13,31,-1.439867416,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
33,odd,high,17,1190,0.01428571429,0.008938218399,0.02275900454,21.63636364,13,31,-1.00593477,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
34,even,high,24,1190,0.02016806723,0.01358981942,0.02983425377,21.63636364,13,31,0.5128294907,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
35,odd,high,28,1190,0.02352941176,0.01632870011,0.03379643036,21.63636364,13,31,1.380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
36,even,high,22,1190,0.01848739496,0.01224009102,0.02783345352,21.63636364,13,31,0.07889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
37,odd,high,22,1190,0.01848739496,0.01224009102,0.02783345352,21.63636364,13,31,0.07889684472,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
38,even,high,16,1190,0.01344537815,0.00829286934,0.02172908928,21.63636364,13,31,-1.222901093,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
39,odd,high,17,1190,0.01428571429,0.008938218399,0.02275900454,21.63636364,13,31,-1.00593477,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
40,even,high,29,1190,0.0243697479,0.01702063815,0.03477975664,21.63636364,13,31,1.597661106,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
41,odd,high,28,1190,0.02352941176,0.01632870011,0.03379643036,21.63636364,13,31,1.380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
42,even,high,16,1190,0.01344537815,0.00829286934,0.02172908928,21.63636364,13,31,-1.222901093,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
43,odd,high,27,1190,0.02268907563,0.01563949786,0.03281036828,21.63636364,13,31,1.16372846,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
44,even,high,19,1190,0.01596638655,0.01024507064,0.02480268095,21.63636364,13,31,-0.5720021242,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
45,odd,high,24,1190,0.02016806723,0.01358981942,0.02983425377,21.63636364,13,31,0.5128294907,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
46,even,high,23,1190,0.01932773109,0.01291314887,0.02883565999,21.63636364,13,31,0.2958631677,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
47,odd,high,15,1190,0.01260504202,0.007653535736,0.02069315857,21.63636364,13,31,-1.439867416,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
48,even,high,23,1190,0.01932773109,0.01291314887,0.02883565999,21.63636364,13,31,0.2958631677,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
49,odd,high,21,1190,0.01764705882,0.01157087969,0.02682740053,21.63636364,13,31,-0.1380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
50,even,high,30,1190,0.02521008403,0.01771517945,0.03576047965,21.63636364,13,31,1.814627429,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
51,odd,high,21,1190,0.01764705882,0.01157087969,0.02682740053,21.63636364,13,31,-0.1380694783,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
52,even,high,24,1190,0.02016806723,0.01358981942,0.02983425377,21.63636364,13,31,0.5128294907,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
53,odd,high,24,1190,0.02016806723,0.01358981942,0.02983425377,21.63636364,13,31,0.5128294907,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
54,even,high,20,1190,0.01680672269,0.01090577555,0.02581724036,21.63636364,13,31,-0.3550358012,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
55,odd,high,20,1190,0.01680672269,0.01090577555,0.02581724036,21.63636364,13,31,-0.3550358012,1190,0,8,38,ds_cbdf3834368e,ds_16b6be697acb,01190,
