metric,value,prob,source_dataset_version,analysis_version,through_draw,override_ref
sum,149,0.009315006119,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,150,0.009428529295,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,151,0.009539672314,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,152,0.009642984959,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,153,0.009743848456,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,154,0.009836226174,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,155,0.009925809793,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,156,0.01000683864,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,157,0.01008452147,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,158,0.01015333908,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,159,0.01021881066,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,160,0.0102748651,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,161,0.01032736655,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,162,0.01037051985,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,163,0.01040963722,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,164,0.01043923397,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,165,0.01046496727,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,166,0.010480766,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,167,0.0104925978,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,168,0.01049473649,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,169,0.0104925978,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,170,0.010480766,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,171,0.01046496727,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,172,0.01043923397,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,173,0.01040963722,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,174,0.01037051985,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,175,0.01032736655,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,176,0.0102748651,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,177,0.01021881066,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,178,0.01015333908,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,179,0.01008452147,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,180,0.01000683864,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,181,0.009925809793,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,182,0.009836226174,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,183,0.009743848456,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,184,0.009642984959,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,185,0.009539672314,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,186,0.009428529295,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,187,0.009315006119,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,188,0.009194066508,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,189,0.009071402146,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,190,0.008941493825,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,191,0.008810240198,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,192,0.008672467008,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,193,0.008533520986,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,194,0.008388538333,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,195,0.008243038254,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,196,0.008091743009,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,197,0.007940378773,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,198,0.007783978261,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,199,0.007627681235,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,200,0.007466865358,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,201,0.007306842867,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,202,0.007142577487,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,203,0.006979519432,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,204,0.006812977379,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,205,0.006647849622,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,206,0.006479755292,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,207,0.006313696169,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,208,0.006144946434,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,209,0.005978645845,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,210,0.00581037904,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,211,0.005644699363,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,212,0.005477536399,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,213,0.005313546978,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,214,0.005148315737,ds_cbdf3834368e,ds_16b6be697acb,01190,
sum,215,0.004986568494,ds_cbdf3834368e,ds_16b6be697acb,01190,
