draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00489,2020-10-15,8,38,41,47,50,52,236,8,52,44,2,4,1,5,30,3,6,3,2,0,30,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00490,2020-10-17,3,14,25,37,49,54,182,3,54,51,4,2,3,3,11,11,12,12,5,0,12,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
00491,2020-10-20,8,33,38,47,49,54,229,8,54,46,3,3,1,5,25,5,9,2,5,0,25,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00492,2020-10-22,2,3,12,21,24,38,100,2,38,36,2,4,5,1,1,9,9,3,14,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00493,2020-10-24,12,21,22,27,41,50,173,12,50,38,3,3,4,2,9,1,5,14,9,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00494,2020-10-27,3,31,33,36,38,39,180,3,39,36,4,2,1,5,28,2,3,2,1,1,28,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00495,2020-10-29,9,11,14,16,21,23,94,9,23,14,4,2,6,0,2,3,2,5,2,0,5,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00496,2020-10-31,8,18,19,20,43,54,162,8,54,46,2,4,4,2,10,1,1,23,11,2,23,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00497,2020-11-03,2,22,27,46,48,52,197,2,52,50,1,5,3,3,20,5,19,2,4,0,20,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00498,2020-11-05,1,2,6,18,34,51,112,1,51,50,2,4,4,2,1,4,12,16,17,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00499,2020-11-07,12,28,30,33,45,52,200,12,52,40,2,4,1,5,16,2,3,12,7,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00500,2020-11-10,2,5,19,39,48,53,166,2,53,51,4,2,3,3,3,14,20,9,5,0,20,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00501,2020-11-12,4,20,22,25,43,47,161,4,47,43,3,3,4,2,16,2,3,18,4,0,18,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00502,2020-11-14,5,11,15,34,44,48,157,5,48,43,3,3,3,3,6,4,19,10,4,0,19,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00503,2020-11-17,6,17,27,34,36,51,171,6,51,45,3,3,3,3,11,10,7,2,15,0,15,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00504,2020-11-19,12,15,23,28,45,48,171,12,48,36,3,3,3,3,3,8,5,17,3,0,17,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00505,2020-11-21,8,14,19,20,49,51,161,8,51,43,3,3,4,2,6,5,1,29,2,1,29,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00506,2020-11-24,4,7,19,20,22,53,125,4,53,49,3,3,5,1,3,12,1,2,31,1,31,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00507,2020-11-26,18,19,29,31,36,52,185,18,52,34,3,3,2,4,1,10,2,5,16,1,16,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00508,2020-11-28,1,20,36,44,45,49,195,1,49,48,3,3,2,4,19,16,8,1,4,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00509,2020-12-01,6,10,12,24,34,43,129,6,43,37,1,5,4,2,4,2,12,10,9,0,12,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00510,2020-12-03,5,19,32,41,42,45,184,5,45,40,4,2,2,4,14,13,9,1,3,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00511,2020-12-05,10,28,29,30,37,38,172,10,38,28,2,4,1,5,18,1,1,7,1,3,18,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
