period_type,period,partial,number,count,n_draws,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
quarter,2017-Q4,False,25,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,26,7,39,4.254545455,1,8,1.4101684,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,27,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,28,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,29,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,30,1,39,4.254545455,1,8,-1.67165658,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,31,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,32,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,33,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,34,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,35,10,39,4.254545455,1,8,2.951080891,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,36,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,37,8,39,4.254545455,1,8,1.923805897,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,38,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,39,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,40,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,41,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,42,7,39,4.254545455,1,8,1.4101684,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,43,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,44,7,39,4.254545455,1,8,1.4101684,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,45,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,46,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,47,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,48,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,49,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,50,9,39,4.254545455,1,8,2.437443394,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,51,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,52,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,53,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,54,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,55,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,1,8,38,4.145454545,1,8,2.005720426,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,2,4,38,4.145454545,1,8,-0.07568756326,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,3,4,38,4.145454545,1,8,-0.07568756326,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,4,5,38,4.145454545,1,8,0.4446644342,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,5,3,38,4.145454545,1,8,-0.5960395607,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,6,2,38,4.145454545,1,8,-1.116391558,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,7,8,38,4.145454545,1,8,2.005720426,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,8,5,38,4.145454545,1,8,0.4446644342,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,9,4,38,4.145454545,1,8,-0.07568756326,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,10,4,38,4.145454545,1,8,-0.07568756326,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,11,3,38,4.145454545,1,8,-0.5960395607,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,12,2,38,4.145454545,1,8,-1.116391558,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,13,2,38,4.145454545,1,8,-1.116391558,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2018-Q1,False,14,4,38,4.145454545,1,8,-0.07568756326,ds_cbdf3834368e,ds_16b6be697acb,01190,
