window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00397,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00398,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00399,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00400,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00401,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00402,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00403,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00404,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00405,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00406,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00407,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00408,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00409,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00410,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00411,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00412,1.855768722,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00413,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00414,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00415,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00416,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00417,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00418,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00419,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00420,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00421,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00422,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00423,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00424,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00425,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00426,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00427,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00428,2.0825849,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00429,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00430,1.855768722,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00431,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00432,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00433,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00434,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00435,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00436,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00437,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00438,1.628952545,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00439,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
