number,count,n,p_null,p_raw,wilson_lo,wilson_hi,p_holm,interpretation,source_dataset_version,analysis_version,through_draw
1,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
28,108,1190,0.1090909091,0.04538551174,0.07572505575,0.1084212203,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
29,143,1190,0.1090909091,0.2264927801,0.102905218,0.1398753093,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
30,118,1190,0.1090909091,0.2850363825,0.08344670173,0.1174522175,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
31,128,1190,0.1090909091,0.9258892533,0.09120548694,0.1264460755,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
32,142,1190,0.1090909091,0.2642500807,0.1021231132,0.1389821498,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
33,134,1190,0.1090909091,0.6757755963,0.09587698285,0.1318261656,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
34,144,1190,0.1090909091,0.1927540041,0.1036876113,0.1407681803,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
35,123,1190,0.1090909091,0.5767471512,0.08732170587,0.121953535,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
36,120,1190,0.1090909091,0.3772686244,0.08499561965,0.1192538283,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
37,116,1190,0.1090909091,0.2093625172,0.08189926661,0.115649124,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
38,128,1190,0.1090909091,0.9258892533,0.09120548694,0.1264460755,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
39,129,1190,0.1090909091,1,0.09198325626,0.1273435705,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
40,136,1190,0.1090909091,0.5457949491,0.09743669158,0.1336169855,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
41,150,1190,0.1090909091,0.06286075432,0.1083878878,0.1461194897,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
42,139,1190,0.1090909091,0.4024445873,0.09977855581,0.1363009142,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
43,142,1190,0.1090909091,0.2642500807,0.1021231132,0.1389821498,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
44,135,1190,0.1090909091,0.609239536,0.09665668185,0.1327217309,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
45,121,1190,0.1090909091,0.4295775486,0.08577062443,0.1201540878,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
46,133,1190,0.1090909091,0.7449527802,0.09509759759,0.1309302865,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
47,140,1190,0.1090909091,0.3522107853,0.1005597794,0.1371949549,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
48,137,1190,0.1090909091,0.4858192049,0.09821700908,0.1345119323,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
