period,config,bin,n,p_mean,y_mean,p_min,p_max,experiment_id,analysis_version,source_dataset_version,code_version,spec_sha256
validation,B1,1,1155,0.0994108623,0.1021645022,0.09743023806,0.1011862227,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,2,1156,0.1021712063,0.107266436,0.1011913972,0.1031354449,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,3,1155,0.1044304202,0.103030303,0.1031396505,0.1060003183,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,4,1155,0.1078443655,0.116017316,0.1060038928,0.1094411207,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,5,1155,0.1114844695,0.1238095238,0.1094450456,0.1130665005,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,6,1154,0.1140473605,0.1091854419,0.1130731563,0.1150272821,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,7,1155,0.1161560817,0.1134199134,0.1150343505,0.1172359015,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,8,1156,0.1184596327,0.1038062284,0.1172365666,0.1198274485,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,9,1155,0.1221477321,0.116017316,0.119831487,0.1300416248,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,0,924,0.04539967075,0.1233766234,0.01690140845,0.05070422535,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,1,1496,0.0676056338,0.09558823529,0.0676056338,0.0676056338,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,2,1863,0.08450704225,0.0987654321,0.08450704225,0.08450704225,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,3,1899,0.1014084507,0.1105845182,0.1014084507,0.1014084507,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,4,1738,0.1183098592,0.1168009206,0.1183098592,0.1183098592,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,5,1525,0.1352112676,0.1154098361,0.1352112676,0.1352112676,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W50,6,2105,0.1686848884,0.109263658,0.1521126761,0.2704225352,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,0,963,0.05976552282,0.1100726895,0.03664122137,0.0641221374,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,1,910,0.07328244275,0.08241758242,0.07328244275,0.07328244275,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,2,954,0.08244274809,0.1100628931,0.08244274809,0.08244274809,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,3,1259,0.09160305344,0.1104050834,0.09160305344,0.09160305344,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,4,1331,0.1007633588,0.1096919609,0.1007633588,0.1007633588,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,5,1360,0.1099236641,0.1102941176,0.1099236641,0.1099236641,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,6,2451,0.1231876069,0.1113831089,0.1190839695,0.1282442748,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,7,797,0.1374045802,0.1028858218,0.1374045802,0.1374045802,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W100,8,1525,0.1617860093,0.1206557377,0.1465648855,0.2106870229,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,0,919,0.07024090797,0.1088139282,0.04780876494,0.0764940239,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,1,1080,0.08377600708,0.1083333333,0.0812749004,0.08605577689,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,2,797,0.09083665339,0.1242158093,0.09083665339,0.09083665339,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,3,1047,0.09561752988,0.08404966571,0.09561752988,0.09561752988,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,4,1021,0.1003984064,0.1067580803,0.1003984064,0.1003984064,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,5,1930,0.1073269616,0.1041450777,0.1051792829,0.1099601594,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,6,681,0.1147410359,0.1101321586,0.1147410359,0.1147410359,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,7,1424,0.1218452035,0.106741573,0.1195219124,0.1243027888,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,8,1210,0.1311659149,0.1231404959,0.1290836653,0.1338645418,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B2_W200,9,1441,0.1474374535,0.1179736294,0.1386454183,0.1673306773,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
