draw_id,draw_date,position,number,is_special
01161,2025-03-08,5,45,False
01161,2025-03-08,6,48,False
01161,2025-03-08,7,8,True
01162,2025-03-11,1,1,False
01162,2025-03-11,2,16,False
01162,2025-03-11,3,18,False
01162,2025-03-11,4,30,False
01162,2025-03-11,5,31,False
01162,2025-03-11,6,44,False
01162,2025-03-11,7,34,True
01163,2025-03-13,1,7,False
01163,2025-03-13,2,13,False
01163,2025-03-13,3,21,False
01163,2025-03-13,4,43,False
01163,2025-03-13,5,52,False
01163,2025-03-13,6,53,False
01163,2025-03-13,7,17,True
01164,2025-03-15,1,1,False
01164,2025-03-15,2,34,False
01164,2025-03-15,3,39,False
01164,2025-03-15,4,40,False
01164,2025-03-15,5,42,False
01164,2025-03-15,6,50,False
01164,2025-03-15,7,25,True
01165,2025-03-18,1,2,False
01165,2025-03-18,2,8,False
01165,2025-03-18,3,29,False
01165,2025-03-18,4,30,False
01165,2025-03-18,5,50,False
01165,2025-03-18,6,55,False
01165,2025-03-18,7,27,True
01166,2025-03-20,1,11,False
01166,2025-03-20,2,13,False
01166,2025-03-20,3,24,False
01166,2025-03-20,4,28,False
01166,2025-03-20,5,36,False
01166,2025-03-20,6,41,False
01166,2025-03-20,7,37,True
01167,2025-03-22,1,2,False
01167,2025-03-22,2,23,False
01167,2025-03-22,3,42,False
01167,2025-03-22,4,50,False
01167,2025-03-22,5,52,False
01167,2025-03-22,6,54,False
01167,2025-03-22,7,44,True
01168,2025-03-25,1,14,False
01168,2025-03-25,2,23,False
01168,2025-03-25,3,29,False
01168,2025-03-25,4,30,False
01168,2025-03-25,5,35,False
01168,2025-03-25,6,40,False
01168,2025-03-25,7,17,True
01169,2025-03-27,1,13,False
01169,2025-03-27,2,25,False
01169,2025-03-27,3,32,False
01169,2025-03-27,4,36,False
01169,2025-03-27,5,41,False
01169,2025-03-27,6,53,False
01169,2025-03-27,7,29,True
01170,2025-03-29,1,14,False
01170,2025-03-29,2,19,False
01170,2025-03-29,3,21,False
01170,2025-03-29,4,24,False
01170,2025-03-29,5,26,False
01170,2025-03-29,6,48,False
01170,2025-03-29,7,39,True
01171,2025-04-01,1,14,False
01171,2025-04-01,2,15,False
01171,2025-04-01,3,29,False
01171,2025-04-01,4,33,False
01171,2025-04-01,5,39,False
01171,2025-04-01,6,47,False
01171,2025-04-01,7,4,True
01172,2025-04-03,1,24,False
01172,2025-04-03,2,26,False
01172,2025-04-03,3,34,False
01172,2025-04-03,4,42,False
01172,2025-04-03,5,50,False
01172,2025-04-03,6,51,False
01172,2025-04-03,7,30,True
01173,2025-04-05,1,13,False
01173,2025-04-05,2,23,False
01173,2025-04-05,3,29,False
01173,2025-04-05,4,32,False
01173,2025-04-05,5,41,False
01173,2025-04-05,6,42,False
01173,2025-04-05,7,9,True
01174,2025-04-08,1,3,False
01174,2025-04-08,2,7,False
01174,2025-04-08,3,34,False
01174,2025-04-08,4,41,False
01174,2025-04-08,5,43,False
01174,2025-04-08,6,53,False
01174,2025-04-08,7,31,True
01175,2025-04-10,1,10,False
01175,2025-04-10,2,13,False
01175,2025-04-10,3,36,False
01175,2025-04-10,4,37,False
01175,2025-04-10,5,40,False
01175,2025-04-10,6,43,False
01175,2025-04-10,7,41,True
01176,2025-04-12,1,3,False
01176,2025-04-12,2,14,False
01176,2025-04-12,3,19,False
01176,2025-04-12,4,37,False
01176,2025-04-12,5,42,False
01176,2025-04-12,6,55,False
01176,2025-04-12,7,23,True
01177,2025-04-15,1,8,False
01177,2025-04-15,2,23,False
01177,2025-04-15,3,24,False
01177,2025-04-15,4,27,False
01177,2025-04-15,5,42,False
01177,2025-04-15,6,49,False
01177,2025-04-15,7,20,True
01178,2025-04-17,1,1,False
01178,2025-04-17,2,17,False
01178,2025-04-17,3,20,False
01178,2025-04-17,4,38,False
01178,2025-04-17,5,41,False
01178,2025-04-17,6,52,False
01178,2025-04-17,7,14,True
01179,2025-04-19,1,5,False
01179,2025-04-19,2,11,False
01179,2025-04-19,3,15,False
01179,2025-04-19,4,32,False
01179,2025-04-19,5,42,False
01179,2025-04-19,6,49,False
01179,2025-04-19,7,43,True
01180,2025-04-22,1,10,False
01180,2025-04-22,2,25,False
01180,2025-04-22,3,37,False
01180,2025-04-22,4,40,False
01180,2025-04-22,5,41,False
01180,2025-04-22,6,48,False
01180,2025-04-22,7,32,True
01181,2025-04-24,1,1,False
01181,2025-04-24,2,2,False
01181,2025-04-24,3,15,False
01181,2025-04-24,4,39,False
01181,2025-04-24,5,40,False
01181,2025-04-24,6,47,False
01181,2025-04-24,7,24,True
01182,2025-04-26,1,3,False
01182,2025-04-26,2,15,False
01182,2025-04-26,3,16,False
01182,2025-04-26,4,31,False
01182,2025-04-26,5,48,False
01182,2025-04-26,6,52,False
01182,2025-04-26,7,21,True
01183,2025-04-29,1,14,False
01183,2025-04-29,2,15,False
01183,2025-04-29,3,18,False
01183,2025-04-29,4,23,False
01183,2025-04-29,5,28,False
01183,2025-04-29,6,33,False
01183,2025-04-29,7,29,True
01184,2025-05-01,1,3,False
01184,2025-05-01,2,17,False
01184,2025-05-01,3,19,False
01184,2025-05-01,4,41,False
01184,2025-05-01,5,45,False
01184,2025-05-01,6,50,False
01184,2025-05-01,7,43,True
01185,2025-05-03,1,15,False
01185,2025-05-03,2,19,False
01185,2025-05-03,3,21,False
01185,2025-05-03,4,26,False
01185,2025-05-03,5,42,False
01185,2025-05-03,6,47,False
01185,2025-05-03,7,38,True
01186,2025-05-06,1,12,False
01186,2025-05-06,2,16,False
01186,2025-05-06,3,25,False
01186,2025-05-06,4,28,False
01186,2025-05-06,5,30,False
01186,2025-05-06,6,39,False
01186,2025-05-06,7,5,True
01187,2025-05-08,1,8,False
01187,2025-05-08,2,14,False
01187,2025-05-08,3,29,False
01187,2025-05-08,4,37,False
01187,2025-05-08,5,39,False
01187,2025-05-08,6,50,False
01187,2025-05-08,7,21,True
01188,2025-05-10,1,7,False
01188,2025-05-10,2,16,False
01188,2025-05-10,3,19,False
01188,2025-05-10,4,28,False
01188,2025-05-10,5,34,False
01188,2025-05-10,6,51,False
01188,2025-05-10,7,15,True
